ID,Namespace,Type,Member
d41396b6705f3bba0c02a1d9eb4cc800,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,
0360ee75f4966fa054680c206407b09f,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,Dispose()
aac1713f2ef6f4e510c8acef600e033f,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,MoveNext()
e29166963b4f778a8867317a2fc147de,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,Reset()
bae17e94e65907557c40ff72e7f2350e,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,Current
f3b3b15e2475294fec868a6ac0180d9d,Microsoft.AspNetCore.Http,EndpointMetadataCollection.Enumerator,Current.get
47f79fdd75549054fe0ec9f13e38fa44,Microsoft.AspNetCore.Hosting,WebHostBuilderKestrelExtensions,"ConfigureKestrel(IWebHostBuilder, Action<KestrelServerOptions>)"
f0fab0017d41d6319afefa7a94d7d4cd,Microsoft.AspNetCore.Hosting,WebHostBuilderKestrelExtensions,"ConfigureKestrel(IWebHostBuilder, Action<WebHostBuilderContext, KestrelServerOptions>)"
8752db8bf53e2e2134533505d9cadf67,Microsoft.AspNetCore.Hosting,WebHostBuilderIISExtensions,UseIIS(IWebHostBuilder)
90f00d7894fec001136c781a18287c0e,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,ClientErrorMapping
ec8a3e34ec8c995c5189b94664602483,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,ClientErrorMapping.get
7773a66e7215fd9ddf44db632888111b,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressMapClientErrors
c4a7b59fe352552a83babdbdb4c213fe,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressMapClientErrors.get
54333b955cf94caaff7f1cfa083d4f03,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressMapClientErrors.set
afdad6ee5152234c6512a0b6a9866195,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressUseValidationProblemDetailsForInvalidModelStateResponses
65061a5d3b94d360083bc7a66ee9483d,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressUseValidationProblemDetailsForInvalidModelStateResponses.get
d8d04bce3fcf30cd129e2110217959a8,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,SuppressUseValidationProblemDetailsForInvalidModelStateResponses.set
04ee246408e480e4755943d3ec996b17,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,AllowInferringBindingSourceForCollectionTypesAsFromQuery
e77ba21b5d7ff4329d85cab57994f320,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,AllowInferringBindingSourceForCollectionTypesAsFromQuery.get
8786a04d393800b23ab063a57ed1926c,Microsoft.AspNetCore.Mvc,ApiBehaviorOptions,AllowInferringBindingSourceForCollectionTypesAsFromQuery.set
273ad085aab24f2f65a0693d930ad685,Microsoft.AspNetCore.Mvc,CompatibilityVersion,Version_2_2
54e27f98c088cd14f8a35661de3af71f,Microsoft.AspNetCore.Mvc,ControllerBase,Unauthorized(Object)
602d3712e76f0e1fce6000cc6df57765,Microsoft.AspNetCore.Mvc,MvcOptions,EnableEndpointRouting
e3c8697a8c8dab6570ffab080e12d036,Microsoft.AspNetCore.Mvc,MvcOptions,EnableEndpointRouting.get
70655488927dbb438cfdcc7fbf0eb81f,Microsoft.AspNetCore.Mvc,MvcOptions,EnableEndpointRouting.set
fd843f60f3868e9a4a0b021f9602b23c,Microsoft.AspNetCore.Mvc,MvcOptions,MaxValidationDepth
ac098c6ebb39383c959e119c0212b584,Microsoft.AspNetCore.Mvc,MvcOptions,MaxValidationDepth.get
b68ce2b1242e301f05bcfb296cdc1b6d,Microsoft.AspNetCore.Mvc,MvcOptions,MaxValidationDepth.set
f4ea7492865aea2f81a897dde4a536b8,Microsoft.AspNetCore.Mvc,MvcOptions,AllowShortCircuitingValidationWhenNoValidatorsArePresent
99501a8d9b12e54fa2517d777f85d111,Microsoft.AspNetCore.Mvc,MvcOptions,AllowShortCircuitingValidationWhenNoValidatorsArePresent.get
2ce6aad9b46ebed48996be53e4fdcbb7,Microsoft.AspNetCore.Mvc,MvcOptions,AllowShortCircuitingValidationWhenNoValidatorsArePresent.set
d809ac58548e2874f33ed931304eae2b,Microsoft.AspNetCore.Mvc,ProblemDetails,Extensions
c7f7c1deaa0908d51ca0dd93b8909071,Microsoft.AspNetCore.Mvc,ProblemDetails,Extensions.get
57cc0887c48b3cd612fb4749de96b308,Microsoft.AspNetCore.Mvc,ValidationProblemDetails,"ValidationProblemDetails(IDictionary<String, String[]>)"
53c8e014ca7fda6ceb80b87a9c82b29c,Microsoft.AspNetCore.Mvc,AntiforgeryValidationFailedResult,
9d22c15ba57c0300171c7a38fc836045,Microsoft.AspNetCore.Mvc,AntiforgeryValidationFailedResult,AntiforgeryValidationFailedResult()
d59e1e89763cea8cf0ec826692157995,Microsoft.AspNetCore.Mvc,ApiConventionMethodAttribute,
3c9f6391c829c9914f0e79d8e83ca25e,Microsoft.AspNetCore.Mvc,ApiConventionMethodAttribute,"ApiConventionMethodAttribute(Type, String)"
70ff31f8753aac1db096776ba9b7cfd9,Microsoft.AspNetCore.Mvc,ApiConventionMethodAttribute,ConventionType
4716f1520da1338f1003d5894b1d3831,Microsoft.AspNetCore.Mvc,ApiConventionMethodAttribute,ConventionType.get
07f098228ed496c80cabde55ae402ba1,Microsoft.AspNetCore.Mvc,ApiConventionTypeAttribute,
377b006f42ad1034f1e803b8b15fb0d4,Microsoft.AspNetCore.Mvc,ApiConventionTypeAttribute,ApiConventionTypeAttribute(Type)
5f83ca2a476d987f6d717035616ee575,Microsoft.AspNetCore.Mvc,ApiConventionTypeAttribute,ConventionType
659bf7de51a311ae990692386265a479,Microsoft.AspNetCore.Mvc,ApiConventionTypeAttribute,ConventionType.get
2a4e55ff9c8b1d3207e0083dfc6ea3d6,Microsoft.AspNetCore.Mvc,ClientErrorData,
56ede320b3986c2ef4d6f210694cac09,Microsoft.AspNetCore.Mvc,ClientErrorData,ClientErrorData()
0b9a6dcc02688f07a5e73507343fcb63,Microsoft.AspNetCore.Mvc,ClientErrorData,Link
